Region,Crop_Type,Temperature,Rainfall,Pesticide_Use,Yield,Soil_Moisture,Humidity,Solar_Radiation,Wind_Speed,Previous_Crop,Fertilizer_Residuals,Pest_Infestation_Severity,Disease_Presence,Pesticide_Effectiveness,Monsoon_Delay,Flood_Occurrence,Temperature_Extremes,Year
Punjab,Sugarcane,26.16,389.55,297.77,5114.02,14.03,65.78,3.88,14.28,Maize,94.19,9.55,0,82.71,14.8,1,0,2023
Rajasthan,Rice,24.24,1278.27,157.89,5690.42,8.49,51.96,5.9,17.22,Sugarcane,266.25,2.86,1,99.08,2.29,0,0,2023
Madhya Pradesh,Sugarcane,26.78,726.51,191.76,3221.98,23.91,78.43,7.52,3.09,Soybean,190.72,3.82,1,70.91,9.97,0,1,2023
Madhya Pradesh,Rice,21.14,320.17,170.02,4966.98,6.01,61.4,4.6,9.03,Rice,287.59,8.59,1,66.33,10.82,0,1,2023
Odisha,Wheat,30.02,974.25,157.01,5634.29,22.23,37.0,6.35,8.16,Soybean,68.11,3.82,1,62.08,8.37,1,0,2023
Chhattisgarh,Soybean,21.1,379.97,390.2,5401.33,30.14,37.74,3.94,13.75,Sugarcane,123.82,5.73,1,69.64,4.07,1,0,2023
Punjab,Rice,35.58,673.5,194.32,2363.69,30.76,62.21,6.12,5.0,Wheat,98.39,7.64,1,87.36,7.8,1,1,2023
Uttar Pradesh,Sugarcane,24.38,1224.93,426.99,5905.84,17.91,86.19,4.68,12.81,Sugarcane,188.46,5.73,0,63.41,7.41,0,1,2023
West Bengal,Wheat,30.44,400.24,442.52,3251.49,18.21,48.5,4.06,17.55,Rice,145.7,7.64,1,69.79,10.96,0,1,2023
Gujarat,Rice,37.16,1394.35,297.9,3080.05,7.09,82.17,4.57,8.36,Sugarcane,89.32,2.86,1,94.21,14.82,1,1,2023
Haryana,Maize,32.63,324.89,142.56,1812.4,24.36,75.85,3.89,18.22,Wheat,210.69,8.59,1,83.32,21.26,0,1,2023
West Bengal,Soybean,30.3,635.93,226.55,3752.93,28.74,44.87,7.51,19.86,Soybean,184.07,8.59,0,62.78,3.17,0,0,2023
Maharashtra,Rice,26.17,1268.36,380.05,2025.73,11.96,32.18,4.99,2.12,Maize,118.68,2.86,0,61.91,19.17,1,1,2023
Madhya Pradesh,Wheat,26.35,724.83,223.95,2664.69,17.1,36.11,4.23,4.66,Soybean,169.94,4.77,1,62.44,6.24,1,0,2023
Haryana,Maize,33.0,450.42,122.25,2977.94,29.25,73.71,5.24,19.01,Wheat,236.43,6.68,0,97.68,12.99,1,0,2023
Rajasthan,Wheat,39.41,781.1,292.65,5230.52,30.36,41.98,4.6,19.17,Wheat,101.32,7.64,0,93.99,12.01,0,1,2023
Andhra Pradesh,Wheat,32.85,666.1,397.24,5535.8,11.92,52.28,6.72,1.95,Rice,123.23,0.0,1,93.8,12.23,0,0,2023
Chhattisgarh,Maize,30.79,1398.67,379.4,2911.65,20.86,60.1,7.86,0.3,Sugarcane,136.53,0.0,1,96.97,15.88,0,0,2023
Uttar Pradesh,Wheat,34.21,721.09,154.21,5458.91,10.45,73.53,5.19,3.22,Sugarcane,236.68,6.68,1,80.21,8.38,1,1,2023
Rajasthan,Maize,28.96,1329.83,334.72,5452.19,7.81,36.79,7.31,19.92,Soybean,261.73,9.55,0,69.89,7.01,1,0,2023
Rajasthan,Rice,20.95,1461.6,170.67,5028.22,31.35,54.38,5.83,3.6,Maize,144.1,5.73,0,76.05,18.73,0,1,2023
Karnataka,Maize,30.88,875.29,169.84,2198.29,28.71,59.1,3.79,10.05,Maize,124.16,7.64,1,88.75,4.83,1,1,2023
Tamil Nadu,Maize,38.69,1484.73,407.75,4687.83,26.95,62.45,6.45,16.97,Rice,272.36,9.55,0,95.04,3.96,1,0,2023
Gujarat,Soybean,23.23,802.97,181.25,5854.24,6.27,79.1,5.57,0.41,Wheat,299.84,1.91,0,77.4,0.34,0,1,2023
Haryana,Maize,33.4,1554.02,186.18,4652.2,29.39,40.3,6.25,12.09,Rice,217.59,8.59,0,81.42,4.62,1,1,2023
Tamil Nadu,Maize,23.74,434.29,90.92,3045.14,17.59,78.47,7.45,5.54,Sugarcane,297.5,3.82,1,97.27,11.39,0,0,2023
Rajasthan,Rice,30.35,1199.39,406.51,3818.9,14.81,71.57,5.2,17.25,Wheat,214.99,1.91,1,64.3,11.83,1,1,2023
Chhattisgarh,Soybean,21.68,952.08,378.19,4483.6,20.74,63.35,7.51,5.67,Rice,233.37,3.82,1,94.49,5.59,0,0,2023
Punjab,Sugarcane,28.67,816.19,318.24,3864.66,7.51,71.97,6.75,13.74,Soybean,147.16,8.59,1,66.37,1.59,1,0,2023
West Bengal,Rice,34.71,1129.87,362.84,2075.82,26.86,54.72,5.44,13.48,Sugarcane,158.24,0.0,1,79.35,16.35,0,1,2023
Karnataka,Rice,26.63,1220.94,145.84,2955.6,21.79,38.3,6.02,4.43,Maize,86.03,9.55,0,68.74,16.64,1,0,2023
Tamil Nadu,Sugarcane,32.91,325.59,256.94,5201.07,10.28,69.95,4.63,0.7,Rice,255.69,2.86,0,84.12,21.91,1,1,2023
Maharashtra,Maize,35.49,533.7,218.09,5471.37,10.32,61.48,7.92,8.18,Sugarcane,282.76,4.77,0,82.34,19.76,1,0,2023
Haryana,Wheat,38.09,1232.7,124.7,2155.27,10.21,68.36,6.34,5.78,Sugarcane,205.86,0.95,0,75.2,20.34,1,1,2023
Odisha,Soybean,24.4,1172.97,267.02,5887.96,6.51,50.28,3.22,16.18,Maize,135.91,5.73,0,94.53,17.53,1,1,2023
Haryana,Wheat,27.66,1556.54,424.67,3032.34,21.95,84.41,4.63,16.01,Maize,88.5,6.68,0,86.39,13.52,0,0,2023
Andhra Pradesh,Sugarcane,22.78,1294.13,105.22,4559.57,29.29,65.24,6.12,9.14,Maize,116.29,0.0,1,88.85,2.82,0,0,2023
Andhra Pradesh,Rice,39.38,1536.99,196.41,4969.48,5.36,35.12,3.28,12.13,Rice,113.85,2.86,1,66.03,13.67,0,1,2023
Gujarat,Rice,38.09,1219.25,165.97,5244.81,6.27,56.99,3.12,12.09,Maize,203.38,9.55,0,95.33,1.23,1,1,2023
Telangana,Soybean,30.44,701.51,177.07,5857.56,21.51,75.38,5.25,16.54,Soybean,286.26,2.86,1,66.68,19.44,0,0,2023
Haryana,Rice,36.41,454.87,420.21,2959.52,28.68,77.65,4.66,8.5,Sugarcane,62.07,3.82,0,68.91,10.58,1,1,2023
Maharashtra,Rice,30.06,1320.74,260.47,5458.03,14.35,59.68,5.19,5.51,Maize,50.26,2.86,0,65.12,15.32,1,1,2023
Tamil Nadu,Soybean,32.09,1144.51,259.83,2129.56,15.02,83.68,4.31,5.3,Sugarcane,200.05,7.64,1,77.61,1.15,0,0,2023
Tamil Nadu,Soybean,21.53,381.68,366.58,4755.24,22.19,46.06,3.82,10.72,Wheat,121.02,5.73,1,95.51,11.73,0,0,2023
Rajasthan,Sugarcane,34.69,780.86,146.73,4924.39,12.82,54.64,6.45,8.98,Wheat,270.14,0.95,0,70.1,6.62,1,1,2023
Tamil Nadu,Rice,22.29,1544.7,267.44,4630.13,5.62,83.92,5.57,8.8,Maize,131.81,0.0,1,74.95,6.26,1,0,2023
Maharashtra,Rice,36.09,960.51,246.66,2681.98,26.23,83.78,4.0,1.82,Sugarcane,122.43,7.64,0,93.84,8.56,0,0,2023
Andhra Pradesh,Sugarcane,35.22,873.89,307.21,5524.6,23.05,71.14,4.6,14.37,Wheat,117.38,0.0,0,84.71,0.01,0,1,2023
Rajasthan,Maize,33.77,905.86,453.27,2299.79,21.74,81.54,5.96,4.27,Maize,86.21,4.77,0,90.06,10.25,1,0,2023
Uttar Pradesh,Maize,20.48,587.37,369.8,1772.12,26.42,35.33,3.36,3.94,Sugarcane,195.38,0.95,0,68.56,10.68,1,0,2023
Maharashtra,Maize,25.76,791.95,235.01,4812.13,24.49,81.9,3.74,8.26,Maize,92.05,2.86,0,88.66,18.95,0,1,2023
Punjab,Sugarcane,24.96,793.36,390.87,3703.94,10.84,49.24,3.37,4.56,Sugarcane,156.16,4.77,1,69.1,9.85,1,0,2023
Bihar,Rice,26.88,387.01,152.61,5414.95,15.1,40.7,7.06,11.68,Wheat,165.24,3.82,0,99.49,7.98,1,1,2023
Tamil Nadu,Sugarcane,21.5,1302.49,101.74,3282.27,8.52,44.36,6.76,7.43,Maize,55.12,9.55,1,82.4,21.84,0,0,2023
Andhra Pradesh,Sugarcane,38.28,853.13,164.85,2297.13,8.62,55.08,6.77,8.98,Wheat,54.2,4.77,0,87.83,12.54,0,0,2023
West Bengal,Maize,30.71,1372.39,214.17,5356.99,24.52,45.07,6.58,10.74,Maize,180.05,1.91,1,64.74,10.38,1,1,2023
Haryana,Wheat,25.8,1408.45,275.89,4040.23,29.82,49.23,6.35,4.07,Rice,224.01,3.82,0,70.03,10.89,1,0,2023
Haryana,Rice,27.61,591.35,313.82,2392.92,32.85,38.1,5.38,3.12,Wheat,285.54,0.95,1,65.59,17.77,0,0,2023
Tamil Nadu,Maize,28.6,1161.41,421.0,4825.5,23.12,47.77,6.21,17.61,Wheat,94.78,5.73,0,75.61,7.48,1,0,2023
Punjab,Wheat,31.63,924.52,275.63,3867.15,10.2,64.34,3.19,8.67,Soybean,75.81,1.91,0,71.37,8.55,0,0,2023
Haryana,Wheat,29.96,1446.6,272.52,4293.95,7.92,56.51,6.11,8.24,Wheat,63.02,0.0,1,89.32,16.6,1,0,2023
Andhra Pradesh,Soybean,37.94,596.15,108.91,3637.18,28.49,50.8,6.89,0.71,Sugarcane,159.01,6.68,1,64.35,1.6,0,0,2023
Gujarat,Rice,29.59,1187.6,103.35,5321.57,21.68,74.79,5.5,9.96,Maize,205.79,6.68,1,90.08,19.0,1,1,2023
Tamil Nadu,Wheat,39.37,1097.92,290.61,5325.48,22.83,83.61,4.79,11.08,Rice,260.14,1.91,1,61.83,9.45,1,0,2023
Rajasthan,Maize,36.59,697.99,249.63,4775.15,27.58,75.41,4.39,11.18,Sugarcane,220.66,5.73,1,68.08,12.77,1,0,2023
Karnataka,Soybean,23.89,494.85,395.09,2009.19,25.3,49.92,6.21,14.14,Sugarcane,102.09,7.64,1,91.68,16.63,0,1,2023
Haryana,Rice,38.16,1154.1,148.97,5368.03,29.12,74.67,6.46,3.55,Sugarcane,165.44,6.68,0,89.71,5.84,0,1,2023
Maharashtra,Sugarcane,22.06,1265.41,99.74,4599.4,6.48,39.12,7.35,5.04,Sugarcane,277.59,1.91,0,79.05,19.55,0,1,2023
Punjab,Maize,35.92,724.0,253.57,4718.52,26.59,37.82,4.71,16.21,Rice,131.69,0.95,0,62.0,21.5,1,0,2023
Tamil Nadu,Wheat,27.29,1145.39,176.83,3188.78,29.6,50.74,6.85,18.94,Soybean,174.68,8.59,1,84.4,10.85,1,1,2023
Uttar Pradesh,Wheat,37.12,825.77,108.68,5553.16,13.17,78.46,5.81,2.72,Wheat,289.64,5.73,1,76.27,20.57,0,1,2023
West Bengal,Maize,36.92,1232.91,353.53,4848.34,23.48,44.78,7.41,9.95,Sugarcane,233.68,5.73,1,72.66,0.02,0,0,2023
Odisha,Wheat,35.69,575.0,131.16,2042.11,13.99,33.8,5.64,4.28,Wheat,236.94,7.64,0,85.62,19.64,1,1,2023
Andhra Pradesh,Soybean,35.38,1459.48,311.35,3393.92,32.71,37.9,5.59,1.2,Wheat,113.08,3.82,1,77.46,6.83,1,0,2023
Punjab,Rice,25.79,687.88,192.63,5585.68,5.82,81.52,5.89,6.51,Sugarcane,153.67,2.86,0,63.7,6.84,1,0,2023
Maharashtra,Soybean,21.36,790.77,153.62,1742.64,21.71,68.03,6.75,2.87,Soybean,70.59,6.68,1,96.64,5.01,1,0,2023
Tamil Nadu,Wheat,27.73,394.36,228.44,5929.31,9.69,45.19,7.82,14.2,Wheat,201.63,2.86,1,91.14,6.96,0,0,2023
Uttar Pradesh,Sugarcane,23.19,462.74,381.4,4636.73,25.56,63.32,3.37,10.67,Maize,75.93,2.86,1,62.26,4.69,0,0,2023
Andhra Pradesh,Rice,33.5,980.3,232.91,4417.89,9.96,61.65,3.27,2.88,Wheat,258.98,0.95,0,81.0,19.89,1,1,2023
Maharashtra,Rice,26.6,662.52,363.02,2765.53,11.69,69.33,7.69,0.18,Sugarcane,253.64,0.0,1,63.34,19.74,1,0,2023
Andhra Pradesh,Maize,39.05,1389.42,136.2,2665.84,19.23,43.99,5.65,16.16,Rice,183.4,2.86,0,93.49,2.24,1,1,2023
Maharashtra,Maize,32.43,338.81,371.0,5840.66,31.46,81.86,6.07,3.52,Wheat,85.29,5.73,1,84.52,3.14,0,0,2023
Haryana,Sugarcane,36.02,805.24,176.63,2892.44,11.01,48.56,5.41,12.12,Soybean,56.39,7.64,1,66.9,18.93,0,1,2023
Haryana,Rice,22.38,751.8,336.4,5077.93,9.04,71.65,3.47,6.74,Maize,249.18,7.64,1,60.83,8.76,1,0,2023
Tamil Nadu,Sugarcane,36.8,344.74,295.92,3326.8,26.92,30.97,6.84,11.71,Maize,200.04,8.59,1,61.26,3.72,1,0,2023
Karnataka,Maize,38.0,479.19,427.72,2164.21,19.41,52.36,6.74,6.31,Rice,227.73,0.0,0,80.29,11.21,1,0,2023
Madhya Pradesh,Maize,29.39,849.46,231.18,1575.57,31.37,51.1,4.56,1.74,Rice,125.95,3.82,1,89.37,9.15,1,1,2023
Rajasthan,Rice,31.75,950.87,114.69,4018.93,9.11,62.61,4.53,4.46,Wheat,177.37,5.73,0,64.83,4.81,1,1,2023
Odisha,Soybean,34.88,837.49,97.63,5995.08,23.64,34.36,7.19,3.76,Sugarcane,236.79,5.73,1,68.85,15.83,1,1,2023
Karnataka,Wheat,23.22,999.6,390.62,3216.96,11.62,77.41,3.36,8.56,Soybean,165.64,8.59,1,73.09,13.86,0,0,2023
Bihar,Maize,29.7,1081.77,281.03,3162.26,9.41,43.07,7.41,13.17,Maize,200.35,4.77,1,68.72,2.19,0,0,2023
Chhattisgarh,Maize,27.64,332.7,371.9,3102.27,24.73,70.62,4.28,5.28,Rice,247.43,9.55,0,75.65,20.32,0,1,2023
Madhya Pradesh,Soybean,22.66,914.04,175.72,3910.33,22.12,78.19,5.96,0.24,Soybean,103.81,8.59,1,82.38,12.26,1,0,2023
Tamil Nadu,Soybean,27.03,1553.28,215.86,3544.53,26.8,63.71,7.68,10.38,Sugarcane,66.48,2.86,0,87.4,5.49,1,1,2023
Tamil Nadu,Sugarcane,21.11,984.36,101.6,5556.07,13.85,74.45,6.39,12.12,Maize,182.96,1.91,0,98.55,4.53,1,0,2023
Tamil Nadu,Sugarcane,20.27,1187.25,439.46,3841.53,17.88,69.71,5.07,19.26,Maize,65.53,7.64,1,97.23,2.99,0,1,2023
Madhya Pradesh,Wheat,22.44,719.19,332.95,3851.78,16.64,51.33,6.45,11.79,Sugarcane,241.64,8.59,0,82.81,9.32,1,1,2023
Telangana,Wheat,38.8,1310.71,429.2,2160.17,33.47,78.53,4.72,9.42,Maize,229.8,2.86,1,89.37,2.98,0,0,2023
Uttar Pradesh,Rice,30.63,1309.34,186.99,6026.96,13.35,47.68,4.39,11.47,Sugarcane,270.43,6.68,0,98.03,9.13,1,1,2023
Punjab,Sugarcane,38.85,987.26,312.49,2671.25,13.42,64.27,7.98,18.56,Maize,209.89,0.0,0,63.34,3.27,1,0,2023
Madhya Pradesh,Maize,28.31,1569.3,336.8,1862.47,15.16,74.72,6.75,16.57,Wheat,66.8,5.73,0,60.23,14.42,1,0,2023
West Bengal,Sugarcane,25.93,480.7,205.87,4563.38,21.27,52.74,6.22,6.46,Sugarcane,113.29,4.77,0,61.19,17.24,0,0,2023
Punjab,Maize,29.77,341.69,398.33,4252.98,12.19,48.17,4.78,4.75,Soybean,251.98,0.0,1,82.53,12.07,0,1,2023
Haryana,Soybean,28.45,1305.8,434.26,3427.66,31.47,57.56,3.25,5.25,Wheat,91.78,2.86,0,90.51,14.93,0,1,2023
West Bengal,Sugarcane,21.85,1353.16,411.66,3459.93,12.58,79.08,3.16,10.09,Soybean,224.62,3.82,1,74.68,20.61,1,1,2023
Chhattisgarh,Soybean,32.43,473.87,358.77,5121.7,30.9,85.8,5.77,14.88,Maize,245.06,9.55,0,81.81,14.02,0,0,2023
Chhattisgarh,Wheat,24.03,659.95,191.33,2422.77,7.86,62.71,6.81,10.06,Soybean,132.53,6.68,1,80.65,8.0,1,0,2023
Maharashtra,Wheat,32.01,342.47,192.84,5282.85,23.95,69.69,5.69,1.36,Wheat,130.57,2.86,1,63.79,9.87,1,1,2023
Rajasthan,Rice,32.62,695.44,440.13,4497.44,31.23,84.2,7.2,14.47,Sugarcane,189.45,1.91,0,72.86,18.9,0,0,2023
Odisha,Sugarcane,22.77,1309.62,94.42,3445.17,9.76,35.91,3.17,16.12,Rice,265.32,0.95,0,60.78,2.87,0,0,2023
Rajasthan,Soybean,20.98,982.99,350.43,3624.04,33.01,43.92,4.83,5.79,Soybean,105.98,2.86,1,64.43,7.15,1,1,2023
Chhattisgarh,Maize,35.2,765.56,346.87,2701.82,18.02,72.53,4.19,13.28,Rice,285.31,9.55,0,92.47,12.68,1,1,2023
Odisha,Wheat,28.85,795.83,316.56,4970.81,32.36,79.42,5.24,8.53,Soybean,199.78,8.59,0,93.18,14.85,1,0,2023
Haryana,Wheat,20.91,321.73,449.84,3875.21,24.53,81.42,3.36,17.78,Soybean,298.03,2.86,0,92.08,16.77,1,0,2023
Rajasthan,Maize,39.43,703.74,203.82,2995.85,13.62,54.91,7.77,16.9,Sugarcane,72.4,8.59,0,89.07,6.99,0,1,2023
Gujarat,Soybean,20.91,1147.47,214.01,4256.11,10.32,35.36,4.12,10.51,Maize,81.64,3.82,0,91.73,3.2,0,1,2023
Odisha,Soybean,33.5,1566.97,119.32,6086.47,13.68,56.27,7.61,13.83,Wheat,256.66,5.73,0,86.84,20.97,0,0,2023
Madhya Pradesh,Sugarcane,39.21,1404.24,251.31,3519.78,7.55,43.84,5.13,17.67,Wheat,266.19,7.64,0,86.79,1.68,1,0,2023
Uttar Pradesh,Sugarcane,24.49,350.2,185.38,5742.81,9.03,47.47,7.93,9.91,Wheat,161.36,0.95,0,86.69,2.1,1,0,2023
Maharashtra,Rice,22.58,1470.16,215.25,3106.51,7.89,76.34,5.77,6.27,Maize,228.52,3.82,0,80.56,10.87,1,1,2023
Odisha,Wheat,22.16,1322.49,393.42,1777.15,17.15,34.53,7.65,15.07,Rice,266.89,9.55,1,74.53,17.99,0,0,2023
Chhattisgarh,Sugarcane,25.76,1318.88,430.02,2461.83,27.99,79.65,3.03,4.4,Wheat,60.78,8.59,0,89.21,17.01,1,0,2023
Tamil Nadu,Soybean,21.76,906.23,158.06,3443.92,8.96,55.66,6.74,7.77,Rice,193.49,7.64,0,71.95,20.59,1,0,2023
Madhya Pradesh,Maize,33.44,829.45,225.81,2532.32,8.64,65.76,7.52,17.31,Maize,263.37,1.91,0,81.72,3.11,0,0,2023
West Bengal,Soybean,21.0,707.73,427.54,1527.54,23.56,35.38,3.7,14.49,Maize,149.54,0.0,0,77.33,8.25,0,0,2023
West Bengal,Wheat,29.83,404.09,113.11,5716.75,10.58,50.24,3.48,8.08,Sugarcane,125.6,0.95,0,71.06,6.2,1,0,2023
Punjab,Soybean,39.46,612.14,124.19,5391.05,7.69,35.38,5.12,4.29,Wheat,248.93,4.77,1,98.99,18.9,0,1,2023
Chhattisgarh,Rice,35.85,635.65,149.74,4925.83,9.7,87.69,7.67,7.12,Sugarcane,133.95,3.82,1,70.35,10.72,1,1,2023
Tamil Nadu,Wheat,31.92,939.62,306.59,2295.01,31.72,78.44,5.71,5.68,Wheat,50.79,0.0,0,72.37,0.59,0,1,2023
Gujarat,Maize,25.82,1276.73,145.27,2077.71,28.74,57.58,5.64,3.52,Maize,289.89,0.0,1,66.46,15.55,1,0,2023
Haryana,Rice,32.1,926.48,441.85,1836.1,15.15,43.42,3.71,14.87,Maize,198.03,9.55,0,92.92,8.54,0,1,2023
West Bengal,Wheat,30.18,394.04,252.73,4842.19,23.92,86.01,3.0,5.04,Soybean,254.88,2.86,0,83.46,11.66,0,0,2023
Rajasthan,Maize,28.19,1545.97,272.61,5779.98,20.48,50.68,7.05,9.08,Soybean,256.33,2.86,1,84.52,19.63,0,0,2023
Punjab,Rice,22.35,1526.69,180.16,3498.14,24.54,39.66,3.44,7.72,Maize,66.6,4.77,1,92.82,5.64,0,0,2023
Odisha,Rice,37.29,1325.04,261.52,2072.11,24.7,63.79,6.17,19.64,Maize,92.72,4.77,1,73.72,5.28,1,0,2023
Karnataka,Wheat,28.65,1588.9,330.79,3873.0,23.14,86.63,7.57,7.82,Rice,127.78,8.59,1,67.75,5.78,1,0,2023
Andhra Pradesh,Sugarcane,23.61,1016.94,363.17,3123.98,12.59,30.23,4.04,1.6,Rice,130.17,4.77,1,67.94,7.42,0,1,2023
Telangana,Rice,27.03,1552.34,364.14,3243.01,5.98,44.29,6.33,1.8,Sugarcane,214.7,0.0,0,89.3,2.36,1,1,2023
Punjab,Rice,27.95,416.77,300.31,4371.88,18.1,86.31,3.39,11.82,Soybean,205.78,8.59,0,84.56,15.31,0,1,2023
Odisha,Maize,36.12,788.07,418.73,4817.87,30.76,40.27,6.02,11.99,Soybean,173.65,7.64,0,68.25,4.55,0,0,2023
Punjab,Soybean,34.26,608.49,387.19,2033.01,21.41,36.79,3.82,8.38,Maize,102.82,9.55,1,65.8,20.34,1,1,2023
Telangana,Wheat,34.97,570.67,365.3,1689.49,29.06,64.21,6.68,8.64,Maize,145.5,5.73,0,64.83,4.74,1,0,2023
Odisha,Wheat,19.98,500.23,110.86,6080.04,33.69,81.71,4.51,1.08,Sugarcane,185.9,5.73,1,85.11,5.61,1,1,2023
Chhattisgarh,Sugarcane,27.99,1116.69,93.18,2592.28,9.61,58.63,5.32,10.33,Soybean,167.0,9.55,0,60.0,6.52,1,1,2023
Chhattisgarh,Sugarcane,29.28,1320.09,167.75,1773.02,24.97,89.67,6.0,10.09,Rice,81.82,5.73,1,60.73,16.88,1,1,2023
West Bengal,Wheat,20.14,1060.22,331.37,2396.03,24.46,70.75,3.86,2.99,Wheat,212.38,0.95,1,75.58,9.39,1,1,2023
Chhattisgarh,Sugarcane,24.9,508.11,239.84,1704.91,33.35,34.44,6.71,2.08,Sugarcane,68.26,0.95,0,87.65,17.99,1,1,2023
Madhya Pradesh,Maize,34.79,1358.24,236.65,3320.8,33.52,89.57,4.51,2.47,Wheat,144.55,4.77,0,87.8,17.24,0,1,2023
Odisha,Wheat,22.47,1134.02,411.56,5201.1,24.82,54.47,6.31,2.02,Rice,227.51,5.73,0,77.2,20.41,1,0,2023
Tamil Nadu,Sugarcane,30.34,816.85,415.54,3089.23,11.93,47.24,3.79,12.19,Rice,55.01,1.91,0,87.64,16.61,0,0,2023
Odisha,Wheat,24.02,1182.89,420.48,3560.64,28.08,63.47,6.44,3.93,Wheat,192.5,2.86,1,80.84,1.14,1,0,2023
Chhattisgarh,Soybean,20.0,652.68,204.54,4620.35,7.96,48.26,3.64,5.03,Sugarcane,133.63,1.91,0,99.08,18.39,1,0,2023
Odisha,Rice,24.53,761.85,341.36,3856.98,27.56,35.19,5.13,3.47,Wheat,52.21,5.73,1,66.5,20.6,0,0,2023
Telangana,Wheat,39.05,1494.38,189.22,5471.49,31.32,30.09,4.24,19.16,Sugarcane,97.6,5.73,0,84.03,21.82,0,1,2023
Haryana,Rice,35.61,691.85,159.83,5492.51,15.98,56.98,6.74,17.09,Sugarcane,285.24,2.86,0,79.65,2.75,0,0,2023
Karnataka,Sugarcane,38.73,921.59,157.66,1571.89,23.19,80.21,4.31,4.61,Maize,180.29,5.73,0,67.78,13.47,0,0,2023
Rajasthan,Rice,29.41,1459.38,214.78,5089.56,17.36,64.34,7.41,6.55,Soybean,299.31,3.82,0,90.0,4.38,1,0,2023
